"tempo","jm","mv","me","md","jv","vv","ve","vd","pbm","pbe","pbv","bm","be","bv","bxtm","bxte","bxtv","tpm","tpe","tpv","npm","npv","nem","nev","sgm","sgv","r"
20200826,11,0.4615,0.3077,0.2308,11,0.3846,0.1538,0.4615,0.4615,0.2308,0.3077,0.6101,0.1356,0.2543,0.6086,0.1631,0.2283,0.7317,0.1220,0.1463,0.8000,0.5000,0.7000,0.9000,6,3,1
20200826,11,0.5385,0.3077,0.1538,12,0.5000,0.1429,0.3571,0.4478,0.2253,0.3269,0.6140,0.1404,0.2456,0.5122,0.0610,0.4268,0.2807,0.2807,0.4386,0.9000,0.6364,0.7000,0.9091,9,-8,0
20200829,16,0.6111,0.2222,0.1667,11,0.3846,0.3846,0.2308,0.4210,0.3034,0.2757,0.4853,0.2941,0.2206,0.2543,0.6102,0.1356,0.5833,0.2500,0.1667,0.8667,0.8000,0.8000,0.6000,15,-6,0
20200830,12,0.5000,0.2143,0.2857,13,0.2000,0.4000,0.4000,0.4500,0.3072,0.2429,0.5833,0.2500,0.1667,0.4142,0.4970,0.0888,0.4739,0.3554,0.1706,0.7273,0.5833,0.8182,0.5833,12,3,1
20200830,10,0.6667,0.2500,0.0833,14,0.6250,0.1875,0.1875,0.4271,0.2188,0.3542,0.5582,0.2093,0.2325,0.5242,0.0983,0.3775,0.5000,0.1000,0.4000,1.0000,0.8462,0.7778,0.8462,23,-13,2
20200830,12,0.4286,0.4286,0.1429,12,0.7143,0.1429,0.1429,0.2858,0.2858,0.4286,0.2727,0.2727,0.4545,0.2834,0.2915,0.4251,0.1765,0.4117,0.4117,0.9091,0.9091,0.5455,0.9091,7,-11,2
20200830,12,0.5000,0.2857,0.2143,11,0.2308,0.3846,0.3846,0.4423,0.3352,0.2226,0.5469,0.3125,0.1407,0.4011,0.3438,0.2552,0.4688,0.2500,0.2813,0.8182,0.6000,0.7273,0.6000,7,0,1
20200902,13,0.4000,0.4000,0.2000,10,0.3333,0.4167,0.2500,0.3250,0.4084,0.2667,0.3000,0.5000,0.2000,0.3669,0.4129,0.2202,0.6000,0.2400,0.1600,0.8333,0.7778,0.5833,0.5556,6,-3,0
20200902,16,0.4444,0.3889,0.1667,13,0.4667,0.2000,0.3333,0.3889,0.2945,0.3167,0.4877,0.2561,0.2562,0.3027,0.5676,0.1298,0.3153,0.2759,0.4088,0.8667,0.6667,0.6000,0.8333,5,-8,1
20200902,12,0.6429,0.2857,0.0714,14,0.3750,0.4375,0.1875,0.4152,0.3616,0.2232,0.4427,0.4590,0.0983,0.5071,0.2817,0.2113,0.5714,0.2571,0.1714,1.0000,0.8462,0.7273,0.5385,14,-5,0
20200902,17,0.5789,0.2632,0.1579,13,0.7333,0.1333,0.1333,0.3561,0.1983,0.4456,0.3384,0.1539,0.5078,0.4217,0.0723,0.5060,0.2873,0.0745,0.6383,0.8750,0.9167,0.7500,0.9167,15,-12,2
20200902,14,0.6875,0.1250,0.1875,10,0.2500,0.3333,0.4167,0.5521,0.2292,0.2188,0.7639,0.1111,0.1250,0.7819,0.0827,0.1354,0.8090,0.1348,0.0562,0.8462,0.5556,0.9231,0.6667,22,5,0
20200902,10,0.6667,0.1667,0.1667,12,0.4286,0.1429,0.4286,0.5477,0.1548,0.2977,0.7500,0.0625,0.1875,0.4298,0.3070,0.2632,0.4160,0.1560,0.4280,0.8889,0.5455,0.8889,0.9091,9,1,0
20200903,11,0.6923,0.1538,0.1538,10,0.4167,0.1667,0.4167,0.5545,0.1603,0.2853,0.7628,0.0678,0.1695,0.4060,0.2284,0.3656,0.6818,0.0796,0.2386,0.9000,0.5556,0.9000,0.8889,16,-4,1
20200903,13,0.5333,0.2667,0.2000,14,0.1875,0.3750,0.4375,0.4854,0.3209,0.1938,0.6292,0.2697,0.1011,0.5769,0.3589,0.0641,0.5669,0.3543,0.0788,0.8333,0.5385,0.7500,0.6154,11,4,2
20200905,12,0.5000,0.3571,0.1429,14,0.1250,0.5000,0.3750,0.4375,0.4286,0.1340,0.4884,0.4651,0.0465,0.4631,0.3474,0.1895,0.3817,0.3957,0.2226,0.9091,0.6154,0.6364,0.4615,9,10,0
20200905,17,0.4737,0.3684,0.1579,11,0.3077,0.1538,0.5385,0.5061,0.2611,0.2328,0.7079,0.1572,0.1348,0.3182,0.3636,0.3182,0.4093,0.2632,0.3275,0.8750,0.4000,0.6250,0.9000,6,6,2
20200905,13,0.6000,0.2000,0.2000,14,0.4375,0.1875,0.3750,0.4875,0.1938,0.3188,0.6429,0.1071,0.2500,0.4545,0.1364,0.4091,0.5546,0.0925,0.3529,0.8333,0.6154,0.8333,0.8462,13,-7,1
20200906,13,0.4667,0.2000,0.3333,12,0.3571,0.1429,0.5000,0.4834,0.1715,0.3452,0.6125,0.0750,0.3124,0.6540,0.1038,0.2422,0.6348,0.1763,0.1889,0.6667,0.4545,0.8333,0.9091,3,4,1
20200906,15,0.4118,0.3529,0.2353,12,0.4286,0.2857,0.2857,0.3488,0.3193,0.3320,0.3684,0.3157,0.3158,0.2553,0.6383,0.1064,0.3415,0.5311,0.1275,0.7857,0.7273,0.6429,0.7273,10,-3,1
20200906,11,0.6154,0.2308,0.1538,13,0.4667,0.3333,0.2000,0.4077,0.2821,0.3103,0.4529,0.2830,0.2641,0.3288,0.2877,0.3835,0.3006,0.2818,0.4176,0.9000,0.8333,0.8000,0.6667,21,-6,0
20200906,12,0.5714,0.1429,0.2857,12,0.3571,0.4286,0.2143,0.3929,0.2858,0.3214,0.4286,0.2144,0.3571,0.3571,0.3572,0.2857,0.2500,0.3333,0.4167,0.7273,0.8182,0.9091,0.5455,9,-6,2
20200906,13,0.5333,0.2667,0.2000,13,0.4667,0.2000,0.3333,0.4333,0.2334,0.3334,0.5479,0.1644,0.2877,0.6857,0.2285,0.0857,0.6774,0.1935,0.1291,0.8333,0.6667,0.7500,0.8333,8,-7,1
20200906,14,0.7500,0.0625,0.1875,17,0.4211,0.3158,0.2632,0.5066,0.1892,0.3043,0.6667,0.0667,0.2667,0.5280,0.1200,0.3520,0.5853,0.1219,0.2927,0.8462,0.7500,1.0000,0.6875,22,-6,0
20200906,13,0.5333,0.2000,0.2667,14,0.4375,0.3125,0.2500,0.3917,0.2563,0.3521,0.4266,0.2000,0.3734,0.6000,0.2000,0.2000,0.4848,0.2425,0.2727,0.7500,0.7692,0.8333,0.6923,13,-4,2
20200909,17,0.4737,0.2632,0.2632,14,0.7500,0.1250,0.1250,0.2994,0.1941,0.5066,0.2045,0.1136,0.6818,0.1618,0.1103,0.7279,0.1130,0.0396,0.8474,0.7500,0.9231,0.7500,0.9231,14,-14,2
20200909,14,0.3750,0.4375,0.1875,15,0.4706,0.2941,0.2353,0.3052,0.3658,0.3291,0.2892,0.4217,0.2892,0.1695,0.5932,0.2373,0.1708,0.6828,0.1464,0.8462,0.7857,0.5385,0.7143,6,-5,1
20200909,10,0.4167,0.2500,0.3333,13,0.4000,0.2000,0.4000,0.4084,0.2250,0.3667,0.4762,0.1429,0.3809,0.3968,0.1270,0.4762,0.5147,0.1765,0.3088,0.6667,0.5833,0.7778,0.8333,3,1,0
20200909,14,0.5625,0.2500,0.1875,11,0.2308,0.3846,0.3846,0.4736,0.3173,0.2092,0.6081,0.2703,0.1216,0.5773,0.2062,0.2165,0.6655,0.2112,0.1232,0.8462,0.6000,0.7692,0.6000,10,5,0
20200909,14,0.6250,0.1875,0.1875,15,0.2353,0.3529,0.4118,0.5184,0.2702,0.2114,0.7000,0.1800,0.1200,0.5749,0.2957,0.1294,0.5454,0.3182,0.1364,0.8462,0.5714,0.8462,0.6429,18,3,1
20200909,15,0.6471,0.1765,0.1765,15,0.1176,0.5294,0.3529,0.5000,0.3530,0.1471,0.6666,0.2728,0.0606,0.5670,0.3240,0.1090,0.3070,0.5457,0.1473,0.8571,0.6429,0.8571,0.4286,22,10,0
20200910,15,0.7059,0.1176,0.1765,15,0.6471,0.1765,0.1765,0.4412,0.1471,0.4118,0.4800,0.0800,0.4400,0.3414,0.1464,0.5122,0.4087,0.1144,0.4768,0.8571,0.8571,0.9286,0.8571,22,-15,1
20200910,18,0.5500,0.2500,0.2000,14,0.4375,0.3750,0.1875,0.3688,0.3125,0.3188,0.3626,0.3297,0.3077,0.2277,0.4877,0.2846,0.2895,0.4210,0.2895,0.8235,0.8462,0.7647,0.6154,13,-6,2
20200910,13,0.4667,0.4000,0.1333,13,0.4000,0.4000,0.2000,0.3334,0.4000,0.2667,0.3044,0.5218,0.1739,0.6407,0.2373,0.1220,0.4730,0.4257,0.1014,0.9167,0.8333,0.5833,0.5833,9,-7,2
20200910,14,0.5000,0.1875,0.3125,10,0.3333,0.2500,0.4167,0.4584,0.2188,0.3229,0.5797,0.1304,0.2898,0.5265,0.2729,0.2005,0.8091,0.1174,0.0734,0.6923,0.5556,0.8462,0.7778,4,3,2
20200912,16,0.6111,0.2222,0.1667,14,0.3750,0.2500,0.3750,0.4931,0.2361,0.2709,0.6600,0.1600,0.1800,0.6243,0.1156,0.2601,0.4867,0.1026,0.4107,0.8667,0.6154,0.8000,0.7692,22,1,1
20200912,15,0.4118,0.4118,0.1765,11,0.3846,0.1538,0.4615,0.4367,0.2828,0.2806,0.5916,0.1971,0.2113,0.4516,0.2258,0.3226,0.5802,0.1692,0.2506,0.8571,0.5000,0.5714,0.9000,8,-1,0
20200913,11,0.3846,0.3077,0.3077,15,0.3529,0.4706,0.1765,0.2806,0.3892,0.3303,0.2113,0.4507,0.3380,0.2096,0.5390,0.2515,0.3968,0.4762,0.1270,0.7000,0.8571,0.7000,0.5000,3,-5,1
20200913,18,0.4500,0.2500,0.3000,13,0.2667,0.3333,0.4000,0.4250,0.2917,0.2834,0.5243,0.2427,0.2330,0.5436,0.3221,0.1342,0.3516,0.2734,0.3750,0.7059,0.5833,0.7647,0.6667,13,0,1
20200913,12,0.7143,0.1429,0.1429,12,0.2143,0.4286,0.3571,0.5357,0.2858,0.1786,0.7352,0.1765,0.0883,0.5560,0.1544,0.2896,0.6316,0.1579,0.2105,0.9091,0.6364,0.9091,0.5455,19,5,1
20200913,19,0.5238,0.2381,0.2381,11,0.3846,0.2308,0.3846,0.4542,0.2345,0.3114,0.5789,0.1579,0.2632,0.5978,0.1033,0.2989,0.5962,0.1010,0.3028,0.7778,0.6000,0.7778,0.8000,11,2,2
20200913,13,0.6000,0.3333,0.0667,16,0.2222,0.3333,0.4444,0.5222,0.3333,0.1445,0.6793,0.2830,0.0378,0.4688,0.3906,0.1406,0.5091,0.3636,0.1273,1.0000,0.5333,0.6667,0.6667,14,4,0
20200913,18,0.4500,0.3500,0.2000,15,0.7647,0.1176,0.1176,0.2838,0.2338,0.4824,0.2142,0.1666,0.6191,0.2286,0.0857,0.6857,0.1579,0.3158,0.5263,0.8235,0.9286,0.6471,0.9286,5,-15,1
20200913,11,0.6154,0.2308,0.1538,11,0.3077,0.4615,0.2308,0.4231,0.3462,0.2308,0.4801,0.3600,0.1599,0.7114,0.0854,0.2032,0.4418,0.2147,0.3435,0.9000,0.8000,0.8000,0.5000,9,-3,2
20200913,14,0.5000,0.2500,0.2500,15,0.4118,0.1765,0.4118,0.4559,0.2133,0.3309,0.5833,0.1250,0.2917,0.5950,0.2314,0.1736,0.3000,0.1750,0.5250,0.7692,0.5714,0.7692,0.8571,10,-6,0
20200916,14,0.4375,0.3750,0.1875,18,0.4000,0.3500,0.2500,0.3438,0.3625,0.2938,0.3465,0.4158,0.2376,0.5490,0.2847,0.1663,0.6061,0.1818,0.2121,0.8462,0.7647,0.6154,0.6471,7,-6,1
20200919,12,0.5714,0.2857,0.1429,16,0.4444,0.2778,0.2778,0.4246,0.2818,0.2937,0.5263,0.2631,0.2106,0.3215,0.3215,0.3571,0.3299,0.3770,0.2932,0.9091,0.7333,0.7273,0.7333,21,-3,2
20200919,15,0.6471,0.1765,0.1765,16,0.3333,0.4444,0.2222,0.4347,0.3105,0.2549,0.5116,0.2791,0.2093,0.4767,0.3530,0.1703,0.2658,0.5063,0.2279,0.8571,0.8000,0.8571,0.5333,19,-4,1
20200919,13,0.5333,0.1333,0.3333,17,0.6316,0.1579,0.2105,0.3719,0.1456,0.4825,0.3265,0.0612,0.6123,0.2072,0.2332,0.5596,0.1810,0.1294,0.6896,0.6667,0.8125,0.9167,0.8750,8,-15,1
20200920,15,0.4706,0.2941,0.2353,15,0.4706,0.3529,0.1765,0.3236,0.3235,0.3530,0.2791,0.3488,0.3721,0.4260,0.4260,0.1479,0.3846,0.2564,0.3590,0.7857,0.8571,0.7143,0.6429,10,-10,0
20200920,13,0.6000,0.2000,0.2000,12,0.3571,0.1429,0.5000,0.5500,0.1715,0.2786,0.7500,0.0715,0.1786,0.3300,0.3849,0.2851,0.5292,0.2117,0.2592,0.8333,0.4545,0.8333,0.9091,9,5,0
20200920,16,0.4444,0.3333,0.2222,14,0.4375,0.1875,0.3750,0.4097,0.2604,0.3299,0.5106,0.1915,0.2979,0.7537,0.1583,0.0880,0.3291,0.4514,0.2195,0.8000,0.6154,0.6667,0.8462,11,-5,1
20200920,14,0.5000,0.1875,0.3125,13,0.3333,0.4000,0.2667,0.3834,0.2938,0.3229,0.4267,0.2400,0.3333,0.2324,0.4357,0.3319,0.4018,0.2411,0.3571,0.6923,0.7500,0.8462,0.5833,12,-3,1
20200923,17,0.4737,0.3158,0.2105,14,0.2500,0.3125,0.4375,0.4556,0.3142,0.2303,0.5780,0.2752,0.1468,0.6462,0.1212,0.2326,0.3768,0.3091,0.3140,0.8125,0.5385,0.6875,0.6923,12,1,1
20200926,18,0.7000,0.1000,0.2000,13,0.3333,0.2000,0.4667,0.5834,0.1500,0.2667,0.7903,0.0484,0.1613,0.7956,0.0553,0.1492,0.8705,0.0381,0.0914,0.8235,0.5000,0.9412,0.8333,24,1,0
20200926,13,0.7333,0.1333,0.1333,17,0.4737,0.3158,0.2105,0.4719,0.2246,0.3035,0.5946,0.1622,0.2432,0.4565,0.3261,0.2174,0.2349,0.2014,0.5637,0.9167,0.8125,0.9167,0.6875,20,-7,1
