"skm","skv","gm","gv","idm","mv","me","md","vv","ve","vd","sg","resp"
2524,784,0,0,0,0,0,0,0,1,0,0,e
2399,1309,0,1,1,0,0,1,0,0,0,-1,v
424,656,1,3,1,0,0,1,0,0,0,-2,v
1319,74,3,0,1,1,0,0,0,0,0,3,m
2591,2679,1,1,0,0,0,0,0,1,0,0,e
2638,2107,2,1,1,1,0,0,0,0,0,1,m
527,585,0,3,1,0,0,1,0,0,0,-3,v
2292,2282,0,3,0,0,0,0,1,0,0,3,v
605,670,4,0,1,1,0,0,0,0,0,4,m
1128,839,2,1,0,0,0,0,0,0,1,-1,m
1594,1569,2,1,0,0,0,0,0,0,1,-1,m
2767,2740,2,3,1,0,0,1,0,0,0,-1,v
1624,2680,1,2,0,0,0,0,1,0,0,1,v
937,1892,0,2,0,0,0,0,1,0,0,2,v
1577,755,0,1,1,0,0,1,0,0,0,-1,v
1164,605,1,0,1,1,0,0,0,0,0,1,m
1932,2591,0,3,1,0,0,1,0,0,0,-3,v
2698,1435,1,1,0,0,0,0,0,1,0,0,e
98,447,0,0,0,0,0,0,0,1,0,0,e
734,312,0,0,1,0,1,0,0,0,0,0,e
351,2288,1,3,1,0,0,1,0,0,0,-2,v
952,1562,0,3,1,0,0,1,0,0,0,-3,v
710,2159,1,1,1,0,1,0,0,0,0,0,e
2724,1910,3,0,0,0,0,0,0,0,1,-3,m
2568,614,1,1,1,0,1,0,0,0,0,0,e
279,409,2,4,1,0,0,1,0,0,0,-2,v
754,2684,1,3,0,0,0,0,1,0,0,2,v
2335,2015,0,1,1,0,0,1,0,0,0,-1,v
770,2368,1,5,1,0,0,1,0,0,0,-4,v
185,514,0,2,1,0,0,1,0,0,0,-2,v
1823,1861,1,2,0,0,0,0,1,0,0,1,v
1423,692,2,0,1,1,0,0,0,0,0,2,m
2401,1174,1,1,1,0,1,0,0,0,0,0,e
1026,1618,1,1,1,0,1,0,0,0,0,0,e
7,228,0,3,1,0,0,1,0,0,0,-3,v
321,712,1,3,0,0,0,0,1,0,0,2,v
1625,619,1,1,1,0,1,0,0,0,0,0,e
215,388,3,1,0,0,0,0,0,0,1,-2,m
